City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Faanui,-16.48,-151.75,80.4,77,68,17.83,PF,1603752984
Antofagasta,-23.65,-70.4,60.8,72,90,13.87,CL,1603753336
Øksfjord,70.24,22.35,35.6,73,0,13.87,NO,1603753473
Jamestown,42.1,-79.24,45,93,90,4.7,US,1603752995
Havre-St-Pierre,50.23,-63.6,32,80,90,4.7,CA,1603753210
Bengkulu,-3.8,102.27,74.39,81,100,3.06,ID,1603753134
La Palma,33.85,-118.05,73.99,4,1,4.7,US,1603753473
Punta Arenas,-53.15,-70.92,50,65,20,23.04,CL,1603753130
Le Port,-20.94,55.29,71.6,83,18,8.05,RE,1603753473
Albany,42.6,-73.97,50,98,100,1.99,US,1603753473
Guánica,17.97,-66.91,82,70,34,6.85,PR,1603753474
Kutno,52.23,19.36,55.99,94,96,1.01,PL,1603753474
Vaiano,43.95,11.12,55.99,100,100,3.36,IT,1603753474
Port Elizabeth,-33.92,25.57,64.4,88,92,18.34,ZA,1603753474
Bluff,-46.6,168.33,54,70,56,5.01,NZ,1603753474
Vaini,-21.2,-175.2,75.2,88,75,10.29,TO,1603753474
La Roda,39.22,-2.15,39.99,79,3,9.64,ES,1603753474
Souillac,-20.52,57.52,71.6,78,75,8.05,MU,1603753195
Samarai,-10.62,150.67,81.9,81,96,9.24,PG,1603753474
Shimoda,34.67,138.95,57,80,19,1.99,JP,1603753475
George Town,5.41,100.34,75.2,88,20,5.12,MY,1603753473
Rikitea,-23.12,-134.97,74.71,85,100,17.09,PF,1603753475
Santa Lucía,27.91,-15.54,71.6,68,75,16.11,ES,1603753475
New Norfolk,-42.78,147.06,55.99,60,99,1.99,AU,1603753475
Lagoa,39.05,-27.98,68.07,92,100,23.69,PT,1603753475
Mataura,-46.19,168.86,54,73,87,3,NZ,1603753141
Butaritari,3.07,172.79,81.72,67,77,9.82,KI,1603753130
Hobart,-42.88,147.33,55.99,50,75,8.05,AU,1603752860
Sitka,57.05,-135.33,47.64,87,100,6.08,US,1603753010
Keflavik,64,-22.56,39.2,80,75,21.92,IS,1603753476
Lázaro Cárdenas,17.96,-102.2,84.02,81,100,9.24,MX,1603753201
Verkhnyaya Inta,65.98,60.31,13.32,92,12,4.59,RU,1603753476
Port Alfred,-33.59,26.89,66.27,85,90,25.5,ZA,1603753133
Nikolskoye,59.7,30.79,48.2,87,90,6.71,RU,1603752973
Poum,-20.23,164.02,76.77,73,0,10.13,NC,1603753192
Saint George,37.1,-113.58,51.01,9,1,32.21,US,1603753133
Kutum,14.2,24.67,70.39,23,28,9.51,SD,1603753148
Ushuaia,-54.8,-68.3,51.8,50,20,16.11,AR,1603753138
Guangyuan,32.44,105.82,59,82,100,8.99,CN,1603753477
Narsaq,60.92,-46.05,41,30,95,12.75,GL,1603753141
Tuatapere,-46.13,167.68,54,73,89,3,NZ,1603753141
Hilo,19.73,-155.09,78.8,83,90,5.82,US,1603753131
Maltahöhe,-24.83,16.98,68.79,26,24,7.76,NA,1603753477
Nantucket,41.28,-70.1,59,87,90,10.29,US,1603753267
Chegdomyn,51.12,133.02,32.14,84,98,1.28,RU,1603753478
Sørland,67.67,12.69,46.4,81,75,18.34,NO,1603753478
Hithadhoo,-0.6,73.08,83.08,65,65,7.4,MV,1603753132
Barrow,71.29,-156.79,19.4,85,90,5.82,US,1603752901
São Filipe,14.9,-24.5,80.56,77,100,6.96,CV,1603753129
Brewster,41.4,-73.62,55,93,90,4.7,US,1603753478
Longyearbyen,78.22,15.64,24.8,79,75,10.29,SJ,1603752910
Ashtian,34.52,50,39.67,67,0,2.84,IR,1603753479
Jalu,29.03,21.55,67.64,56,2,4.23,LY,1603753479
Neijiang,29.58,105.06,61.18,75,100,4.92,CN,1603753479
Fairbanks,64.84,-147.72,28.99,86,90,4.18,US,1603753021
Kattivākkam,13.22,80.32,78.8,94,40,3.36,IN,1603753479
Hermanus,-34.42,19.23,64,86,54,5.01,ZA,1603752954
Bubaque,11.28,-15.83,82.54,83,0,13.62,GW,1603753039
Kapaa,22.08,-159.32,82.4,69,75,4.7,US,1603752987
Dumas,35.87,-101.97,19.99,85,90,17.22,US,1603753479
Artyom,40.47,50.33,60.8,93,75,6.93,AZ,1603753480
Thompson,55.74,-97.86,30.2,46,40,6.93,CA,1603753120
Sobolevo,54.43,31.9,43.99,91,65,9.64,RU,1603753223
Palmer,42.16,-72.33,50,93,90,5.82,US,1603753480
Lorengau,-2.02,147.27,81.46,79,100,5.88,PG,1603753143
Katsuura,35.13,140.3,62.6,63,75,12.75,JP,1603752968
Bouna,9.27,-3,77.05,52,65,2.75,CI,1603753480
Avarua,-21.21,-159.78,75.2,69,100,19.46,CK,1603752969
Río Gallegos,-51.62,-69.22,59,15,20,21.92,AR,1603753293
Iqaluit,63.75,-68.51,15.8,85,90,4.7,CA,1603753121
Qaanaaq,77.48,-69.36,8.02,75,78,9.15,GL,1603752960
Fertőrákos,47.72,16.65,51.8,81,90,4.7,HU,1603753481
Chokurdakh,70.63,147.92,4.48,95,99,10.33,RU,1603753141
Hofn,64.25,-15.21,36.54,78,4,10.74,IS,1603753196
